datetime,temperature,humidity
2023-01-01 00:00:00,2.8,57.0
2023-01-01 01:00:00,4.31,58.67
2023-01-01 02:00:00,4.83,52.64
2023-01-01 03:00:00,7.05,49.14
2023-01-01 04:00:00,8.76,41.21
2023-01-01 05:00:00,8.58,45.99
2023-01-01 06:00:00,11.57,41.12
2023-01-01 07:00:00,11.66,38.53
2023-01-01 08:00:00,12.36,30.75
2023-01-01 09:00:00,13.59,48.46
2023-01-01 10:00:00,12.17,47.34
2023-01-01 11:00:00,13.54,46.92
2023-01-01 12:00:00,12.92,54.05
2023-01-01 13:00:00,12.63,54.77
2023-01-01 14:00:00,10.54,58.0
2023-01-01 15:00:00,9.64,54.67
2023-01-01 16:00:00,7.83,64.0
2023-01-01 17:00:00,7.36,66.5
2023-01-01 18:00:00,5.67,66.57
2023-01-01 19:00:00,5.25,62.94
2023-01-01 20:00:00,4.62,64.39
2023-01-01 21:00:00,5.16,62.72
2023-01-01 22:00:00,3.79,58.42
2023-01-01 23:00:00,4.97,56.27
2023-01-02 00:00:00,3.79,56.3
2023-01-02 01:00:00,5.58,48.83
2023-01-02 02:00:00,6.28,59.07
2023-01-02 03:00:00,6.81,48.53
2023-01-02 04:00:00,6.94,45.61
2023-01-02 05:00:00,10.26,45.02
2023-01-02 06:00:00,9.98,48.58
2023-01-02 07:00:00,12.9,41.37
2023-01-02 08:00:00,13.39,46.2
2023-01-02 09:00:00,13.76,41.49
2023-01-02 10:00:00,13.79,50.01
2023-01-02 11:00:00,14.55,50.97
2023-01-02 12:00:00,13.25,50.92
2023-01-02 13:00:00,11.79,51.52
2023-01-02 14:00:00,12.22,59.04
2023-01-02 15:00:00,9.82,62.99
2023-01-02 16:00:00,8.38,65.61
2023-01-02 17:00:00,5.2,67.7
2023-01-02 18:00:00,6.06,65.57
2023-01-02 19:00:00,4.79,66.3
2023-01-02 20:00:00,3.82,62.32
2023-01-02 21:00:00,4.09,63.77
2023-01-02 22:00:00,3.73,63.44
2023-01-02 23:00:00,3.07,58.35
2023-01-03 00:00:00,3.45,59.47
2023-01-03 01:00:00,5.33,48.49
2023-01-03 02:00:00,6.95,47.47
2023-01-03 03:00:00,8.42,44.35
2023-01-03 04:00:00,8.27,43.58
2023-01-03 05:00:00,10.22,43.26
2023-01-03 06:00:00,11.87,35.83
2023-01-03 07:00:00,11.82,41.08
2023-01-03 08:00:00,12.28,42.64
2023-01-03 09:00:00,12.25,41.85
2023-01-03 10:00:00,13.76,46.94
2023-01-03 11:00:00,14.89,51.85
2023-01-03 12:00:00,10.47,48.6
2023-01-03 13:00:00,11.35,51.45
2023-01-03 14:00:00,10.11,56.06
2023-01-03 15:00:00,9.67,61.15
2023-01-03 16:00:00,8.82,61.94
2023-01-03 17:00:00,6.51,60.75
2023-01-03 18:00:00,5.64,63.27
2023-01-03 19:00:00,5.14,66.47
2023-01-03 20:00:00,4.48,66.32
2023-01-03 21:00:00,3.59,58.55
2023-01-03 22:00:00,4.27,55.68
2023-01-03 23:00:00,3.93,62.03
2023-01-04 00:00:00,3.5,56.74
2023-01-04 01:00:00,4.6,46.67
2023-01-04 02:00:00,6.55,51.78
2023-01-04 03:00:00,7.33,43.95
2023-01-04 04:00:00,8.46,43.22
2023-01-04 05:00:00,9.28,38.6
2023-01-04 06:00:00,11.13,38.81
2023-01-04 07:00:00,12.7,41.18
2023-01-04 08:00:00,12.03,43.6
2023-01-04 09:00:00,13.74,40.56
2023-01-04 10:00:00,14.34,45.51
2023-01-04 11:00:00,15.31,46.07
2023-01-04 12:00:00,12.9,55.92
2023-01-04 13:00:00,12.48,61.67
2023-01-04 14:00:00,11.83,51.44
2023-01-04 15:00:00,11.42,61.42
2023-01-04 16:00:00,9.34,66.8
2023-01-04 17:00:00,6.69,70.07
2023-01-04 18:00:00,5.36,64.91
2023-01-04 19:00:00,4.25,65.71
2023-01-04 20:00:00,3.58,64.51
2023-01-04 21:00:00,4.18,62.84
2023-01-04 22:00:00,2.87,64.3
2023-01-04 23:00:00,4.31,62.18
2023-01-05 00:00:00,5.18,55.99
2023-01-05 01:00:00,6.9,52.55
2023-01-05 02:00:00,6.74,48.33
2023-01-05 03:00:00,6.74,52.58
2023-01-05 04:00:00,9.37,47.12
2023-01-05 05:00:00,10.28,43.58
2023-01-05 06:00:00,10.19,39.72
2023-01-05 07:00:00,11.8,42.65
2023-01-05 08:00:00,13.03,42.36
2023-01-05 09:00:00,14.08,45.45
2023-01-05 10:00:00,12.92,44.59
2023-01-05 11:00:00,13.89,42.49
2023-01-05 12:00:00,13.93,48.81
2023-01-05 13:00:00,12.4,47.49
2023-01-05 14:00:00,11.08,59.74
2023-01-05 15:00:00,9.46,57.52
2023-01-05 16:00:00,8.75,59.17
2023-01-05 17:00:00,6.82,63.44
2023-01-05 18:00:00,6.34,61.55
2023-01-05 19:00:00,4.37,66.57
2023-01-05 20:00:00,3.64,71.44
2023-01-05 21:00:00,3.66,60.93
2023-01-05 22:00:00,3.54,59.94
2023-01-05 23:00:00,3.02,61.55
2023-01-06 00:00:00,4.38,58.92
2023-01-06 01:00:00,4.88,50.46
2023-01-06 02:00:00,4.43,48.6
2023-01-06 03:00:00,7.58,43.09
2023-01-06 04:00:00,8.15,45.32
2023-01-06 05:00:00,10.1,46.42
2023-01-06 06:00:00,11.15,34.49
2023-01-06 07:00:00,14.04,39.3
2023-01-06 08:00:00,12.36,43.02
2023-01-06 09:00:00,14.75,43.89
2023-01-06 10:00:00,13.34,41.09
2023-01-06 11:00:00,13.92,47.16
2023-01-06 12:00:00,12.72,49.87
2023-01-06 13:00:00,12.54,46.35
2023-01-06 14:00:00,11.32,54.55
2023-01-06 15:00:00,10.56,54.44
2023-01-06 16:00:00,8.33,58.8
2023-01-06 17:00:00,8.83,60.81
2023-01-06 18:00:00,6.91,68.17
2023-01-06 19:00:00,5.39,63.45
2023-01-06 20:00:00,5.22,66.38
2023-01-06 21:00:00,4.5,64.48
2023-01-06 22:00:00,5.28,59.13
2023-01-06 23:00:00,5.05,60.47
2023-01-07 00:00:00,4.62,57.69
2023-01-07 01:00:00,6.52,48.32
2023-01-07 02:00:00,7.1,47.69
2023-01-07 03:00:00,7.92,47.46
2023-01-07 04:00:00,7.92,47.09
2023-01-07 05:00:00,9.43,47.96
2023-01-07 06:00:00,11.48,45.82
2023-01-07 07:00:00,11.65,44.65
2023-01-07 08:00:00,13.89,46.62
2023-01-07 09:00:00,13.63,49.78
2023-01-07 10:00:00,12.69,44.75
2023-01-07 11:00:00,13.68,46.12
2023-01-07 12:00:00,13.67,46.52
2023-01-07 13:00:00,12.44,54.54
2023-01-07 14:00:00,11.09,55.99
2023-01-07 15:00:00,9.43,61.3
2023-01-07 16:00:00,8.24,62.41
2023-01-07 17:00:00,7.12,65.74
2023-01-07 18:00:00,5.19,65.41
2023-01-07 19:00:00,4.38,66.19
2023-01-07 20:00:00,6.28,64.32
2023-01-07 21:00:00,4.5,66.34
2023-01-07 22:00:00,3.12,61.02
2023-01-07 23:00:00,2.16,59.62
2023-01-08 00:00:00,5.85,56.51
2023-01-08 01:00:00,6.07,51.52
2023-01-08 02:00:00,6.85,52.14
2023-01-08 03:00:00,7.37,45.6
2023-01-08 04:00:00,9.17,44.89
2023-01-08 05:00:00,10.33,37.7
2023-01-08 06:00:00,11.39,40.6
2023-01-08 07:00:00,10.61,43.45
2023-01-08 08:00:00,12.13,42.02
2023-01-08 09:00:00,14.48,39.5
2023-01-08 10:00:00,13.37,42.08
2023-01-08 11:00:00,13.19,45.72
2023-01-08 12:00:00,12.25,49.22
2023-01-08 13:00:00,12.05,50.75
2023-01-08 14:00:00,11.32,54.33
2023-01-08 15:00:00,10.88,59.11
2023-01-08 16:00:00,10.06,62.15
2023-01-08 17:00:00,7.85,60.98
2023-01-08 18:00:00,6.33,65.15
2023-01-08 19:00:00,6.14,64.34
2023-01-08 20:00:00,4.44,65.71
2023-01-08 21:00:00,3.97,65.81
2023-01-08 22:00:00,4.43,60.83
2023-01-08 23:00:00,4.41,53.71
2023-01-09 00:00:00,4.11,57.37
2023-01-09 01:00:00,5.37,50.77
2023-01-09 02:00:00,7.34,49.07
2023-01-09 03:00:00,7.27,47.95
2023-01-09 04:00:00,8.48,48.04
2023-01-09 05:00:00,9.77,47.28
2023-01-09 06:00:00,10.39,39.23
2023-01-09 07:00:00,11.66,44.18
2023-01-09 08:00:00,13.02,42.89
2023-01-09 09:00:00,15.86,49.02
2023-01-09 10:00:00,14.84,43.88
2023-01-09 11:00:00,14.85,47.45
2023-01-09 12:00:00,13.15,44.18
2023-01-09 13:00:00,13.84,46.72
2023-01-09 14:00:00,12.2,52.78
2023-01-09 15:00:00,11.2,52.1
2023-01-09 16:00:00,10.17,58.04
2023-01-09 17:00:00,6.69,68.21
2023-01-09 18:00:00,6.76,63.19
2023-01-09 19:00:00,6.25,61.83
2023-01-09 20:00:00,3.43,61.17
2023-01-09 21:00:00,4.61,55.18
2023-01-09 22:00:00,5.08,57.8
2023-01-09 23:00:00,4.13,55.15
2023-01-10 00:00:00,3.77,50.62
2023-01-10 01:00:00,7.23,51.99
2023-01-10 02:00:00,7.72,45.86
2023-01-10 03:00:00,8.27,45.19
2023-01-10 04:00:00,9.27,44.63
2023-01-10 05:00:00,10.77,42.56
2023-01-10 06:00:00,10.59,49.28
2023-01-10 07:00:00,12.8,45.05
2023-01-10 08:00:00,13.61,40.32
2023-01-10 09:00:00,14.14,42.6
2023-01-10 10:00:00,15.47,42.0
2023-01-10 11:00:00,13.4,51.04
2023-01-10 12:00:00,13.16,50.4
2023-01-10 13:00:00,12.72,54.21
2023-01-10 14:00:00,12.05,53.16
2023-01-10 15:00:00,9.64,58.98
2023-01-10 16:00:00,9.22,56.31
2023-01-10 17:00:00,7.7,61.82
2023-01-10 18:00:00,7.11,62.2
2023-01-10 19:00:00,7.41,63.58
2023-01-10 20:00:00,4.9,66.93
2023-01-10 21:00:00,4.8,64.32
2023-01-10 22:00:00,3.85,59.76
2023-01-10 23:00:00,5.48,59.67
2023-01-11 00:00:00,5.15,59.93
2023-01-11 01:00:00,6.15,50.76
2023-01-11 02:00:00,5.19,51.19
2023-01-11 03:00:00,8.3,49.49
2023-01-11 04:00:00,8.37,46.93
2023-01-11 05:00:00,11.63,44.09
2023-01-11 06:00:00,11.88,36.55
2023-01-11 07:00:00,11.36,41.38
2023-01-11 08:00:00,14.5,38.87
2023-01-11 09:00:00,13.97,41.29
2023-01-11 10:00:00,14.28,43.62
2023-01-11 11:00:00,16.16,47.79
2023-01-11 12:00:00,13.54,48.35
2023-01-11 13:00:00,12.19,48.85
2023-01-11 14:00:00,11.47,54.0
2023-01-11 15:00:00,10.27,56.75
2023-01-11 16:00:00,8.32,63.33
2023-01-11 17:00:00,8.48,64.53
2023-01-11 18:00:00,6.77,65.8
2023-01-11 19:00:00,6.65,66.83
2023-01-11 20:00:00,5.79,64.98
