noted_date,temp,out/in
01/01/2022 00:00,13.4,In
01/01/2022 01:00,12.04,In
01/01/2022 02:00,12.78,In
01/01/2022 03:00,14.03,In
01/01/2022 04:00,12.52,In
01/01/2022 05:00,13.48,In
01/01/2022 06:00,16.9,In
01/01/2022 07:00,17.37,In
01/01/2022 08:00,17.44,In
01/01/2022 09:00,20.2,In
01/01/2022 10:00,20.44,In
01/01/2022 11:00,21.68,In
01/01/2022 12:00,23.49,In
01/01/2022 13:00,21.5,In
01/01/2022 14:00,21.93,In
01/01/2022 15:00,23.12,In
01/01/2022 16:00,21.98,In
01/01/2022 17:00,22.62,In
01/01/2022 18:00,19.91,In
01/01/2022 19:00,17.86,In
01/01/2022 20:00,19.76,In
01/01/2022 21:00,16.18,In
01/01/2022 22:00,15.08,In
01/01/2022 23:00,12.05,In
01/02/2022 00:00,12.15,In
01/02/2022 01:00,12.34,In
01/02/2022 02:00,10.62,In
01/02/2022 03:00,12.66,In
01/02/2022 04:00,12.08,In
01/02/2022 05:00,13.41,In
01/02/2022 06:00,14.28,In
01/02/2022 07:00,18.67,In
01/02/2022 08:00,17.98,In
01/02/2022 09:00,18.28,In
01/02/2022 10:00,21.99,In
01/02/2022 11:00,20.78,In
01/02/2022 12:00,23.45,In
01/02/2022 13:00,21.44,In
01/02/2022 14:00,22.41,In
01/02/2022 15:00,24.03,In
01/02/2022 16:00,24.08,In
01/02/2022 17:00,22.45,In
01/02/2022 18:00,20.86,In
01/02/2022 19:00,19.19,In
01/02/2022 20:00,16.23,In
01/02/2022 21:00,15.58,In
01/02/2022 22:00,14.45,In
01/02/2022 23:00,15.03,In
01/03/2022 00:00,13.22,In
01/03/2022 01:00,10.09,In
01/03/2022 02:00,12.39,In
01/03/2022 03:00,11.74,In
01/03/2022 04:00,11.99,In
01/03/2022 05:00,14.49,In
01/03/2022 06:00,16.24,In
01/03/2022 07:00,17.56,In
01/03/2022 08:00,16.99,In
01/03/2022 09:00,19.18,In
